r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1841,1985,2335,2495,2647,2857,3013,3149,3227.4,3300.6,3467,3539,3609,3711,3815,3890,3966.1,4241,4407,4565,4637,4707,4811,4915,4990.2,5067.3,5453,5607,5777,5849,5921,6025,6127,6203,6281.2,6799,6955,7121,7195,7265,7373,7477,7552.7,7631.8,7847,7993,8133,8207,8281,8387,8493,8569.4,8648.4
1893,2115,2399,2569,2715,2921,3085,3211,3281.5,3360.6,3521,3595,3675,3783,3879,3949.6,4031.6,4307,4483,4619,4693,4775,4885,4977,5063.3,5135.5,5513,5689,5831,5907,5989,6099,6189,6269.1,6347.3,6867,7031,7177,7255,7337,7445,7541,7619.5,7694.9,7979,8059,8191,8265,8347,8455,8557,8637,8717.4
