l,l,l,l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1677,1819,1969,2177,2401,2999,3153,3311,3537,3703,3847,4041,4197,4341,4409,4481,4657,4731,4803,4907,5027,5095,5171,5397,5541,5715,5777.5,5859,6055,6209,6343,6419,6491,6593,6713,6785,6861,7113,7247,7435,7581,7729,7797,7875,8065,8217,8355,8427,8499,8607,8725,8795,8871,9091,9247,9389,9465,9535,9639,9755,9825,9901,10131,10281,10465,10615,10771,10841,10915,11107,11259,11387,11461,11533,11641,11757,11827,11905,12159,12319,12507,12655,12807,12877,12951,13159,13313,13445,13521,13593,13699,13811,13885,13961,14217,14365,14573,14729,14889,14957,15035,15251,15403,15543,15617,15691,15799,15911,15985,16063,16541,16701,16869,16941,17017,17215,17380,17519,17595,17665,17771,17885,17959,18035,18343,18481,18683,18829,18977,19049,19123,19363,19515,19659,19735,19809,19915,20039,20109,20185
1747,1917,2073,2319,2483,3067,3251,3393,3613,3781,3923,4117,4285,4387,4469,4545,4717,4793,4879,4987,5079,5155,5235,5471,5629,5765,5847.8,5929,6195,6257,6405,6483,6565,6679,6767,6845,6931,7187,7327,7511,7673,7777,7857,7945,8209,8277,8415,8491,8577,8685,8779,8857,8935,9243,9317,9453,9529,9609,9719,9809,9887,9967,10203,10355,10541,10705,10825,10905,10985,11249,11327,11447,11527,11613,11723,11811,11891,11973,12225,12393,12585,12743,12855,12937,13019,13311,13381,13509,13585,13671,13777,13867,13947,14029,14283,14439,14649,14821,14945,15021,15103,15397,15467,15605,15683,15767,15879,15969,16047,16143,16611,16785,16923,17003,17103,17359,17441,17583,17659,17741,17853,17943,18023,18107,18407,18565,18757,18919,19035,19111,19211,19509,19587,19725,19803,19885,19997,20097,20173,20249
