r,l,l,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1973.1,2122.6,2314.2,2505.5,2675.9,2878,3052.5,3289.3,3454.7,3587.6,3668.2,3740.7,3914.8,3989.3,4061,4161.4,4278.6,4346.6,4421,4656.8,4806.5,4974.2,5048.8,5119.6,5220.3,5329.1,5408.1,5480.3,5721.3,5868.9,6039.5,6111.8,6183.7,6287.9,6396.8,6471.2,6548.6,6755.8,6905.4,7039.9,7115.1,7187.3,7291.6,7398.3,7473.6,7553,7819.3,7968.1,8159.4,8310.6,8451.8,8536.4,8622.4,8812,8960.5,9100.8,9175.5,9248.2,9349.8,9460.2,9533.4,9614.1,9956.2,10113,10268,10357,10428,10621,10773,10910,10986,11059,11162,11274,11346,11439,11677,11828,12037,12190,12340,12421,12512,12699,12852,12988,13063,13134,13237,13348,13457,13518
2039.3,2253.9,2401.4,2588.3,2759.3,2955.8,3135.8,3359.5,3537.7,3652.3,3710.9,3792.3,3974.9,4046,4136.5,4235,4315.8,4388.9,4469.9,4730.8,4908.5,5032.2,5109.1,5192.7,5295.5,5396.1,5471.6,5559,5797.1,5959.7,6101.5,6173.8,6259.5,6367.2,6462.6,6544.4,6626.5,6891.1,6972.6,7103.1,7176.7,7261.6,7362.8,7465.4,7549.7,7630.1,7888.3,8046,8235.6,8397.3,8516.2,8592,8695.2,8950.1,9034.7,9158.7,9238.5,9324.3,9429.4,9527.8,9610.7,9690.2,10029,10207,10337,10413,10510,10760,10845,10971,11051,11135,11242,11342,11418,11511,11746,11904,12110,12282,12400,12491,12587,12837,12921,13050,13125,13206,13314,13422,13488,13584
