l,l,l,l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,w,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1958.6,2137.8,2317.9,2472.3,2624.8,2823.8,3170.3,3381.3,3658.1,3832.2,3981.9,4174.4,4331.4,4465.2,4538.2,4619.9,4799.8,4871.2,4941.5,5046.3,5152.3,5225.4,5307,5549.1,5699.3,5862.2,5937.8,6011.2,6115,6222.6,6303.8,6376.8,6592.2,6743.1,6876.4,6951.6,7024.6,7129.5,7233.6,7307.9,7386.5,7609.8,7749.1,7945.4,8089.6,8244.7,8318.5,8390.5,8497.2,8600.1,8672.2,8755,8948.2,9101.7,9232.6,9304.8,9377.7,9481.8,9589,9660,9743,10003,10137,10327,10473,10606,10685,10763,10952,11106,11243,11316,11389,11501,11606,11682,11760,11994,12134,12341,12492,12652,12727,12801,12905,13013,13087,13168,13458,13613,13776,13853,13932,14125,14280,14418,14492,14566,14670,14777,14852,14932,15224,15377,15540,15614,15688,15797,15902,15977,16057,16332,16477,16717,16870,17005,17082,17162,17370,17524,17655,17730,17802,17907,18015,18091,18172,18458,18603,18803,18959,19095,19173,19254,19451,19609,19746,19822,19895,20001,20113,20190,20270
2066.9,2232.9,2397.9,2548.3,2710.8,2879.2,3296.2,3455.8,3720.5,3897.1,4047.6,4240.3,4407.5,4524.4,4615.1,4694.6,4850.6,4925,5007.7,5116.3,5211,5303.3,5377.9,5611.2,5772.5,5914.6,5990.8,6074.5,6186.9,6281.1,6347.8,6430.1,6718.5,6802.8,6927.4,7006.7,7092.5,7200.7,7293,7374.8,7457.8,7669.1,7818.6,8012,8168.1,8295.6,8371,8455.1,8567.1,8661.4,8749.9,8827.1,9081.4,9161.6,9285.5,9359.2,9443.3,9552.1,9648.7,9739.2,9817.4,10062,10211,10391,10549,10670,10750,10831,11085,11169,11295,11371,11457,11570,11670,11754,11830,12051,12208,12408,12572,12706,12782,12869,12979,13077,13157,13235,13521,13690,13838,13918,14000,14264,14346,14468,14547,14631,14745,14839,14924,15000,15292,15456,15592,15670,15753,15865,15962,16047,16126,16394,16547,16782,16954,17068,17154,17232,17505,17588,17708,17784,17868,17980,18077,18166,18245,18515,18672,18875,19039,19158,19247,19325,19591,19678,19799,19878,19962,20077,20178,20259,20338
