l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1957,2137,2395,2561,2727,2987,3151,3299,3376.1,3449.9,3639,3711,3781,3883,3985,4064.5,4140.8,4607,4777,4935,5125,5287,5421,5498.6,5574.8,5769,5939,6151,6305,6443,6519,6593.8,6777,6921,7047,7117,7189,7293,7399,7475,7552.2
2033,2209,2453,2631,2805,3051,3221,3363,3426.3,3509.8,3695,3767,3849,3955,4051,4126.8,4208.8,4671,4849,5003,5191,5351,5485,5563.7,5639.1,5815,6015,6219,6379,6509,6581.5,6660.8,6911,6985,7099,7175,7261,7365,7465,7538.5,7615
