l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1995,2157,2879,3021,3183,3391,3555,3703,3909,4055,4167,4244.7,4316.2,4483,4555,4623,4727,4827,4901,4953,5199,5349,5507,5579,5647,5751,5853,5925.9,6002.8,6247,6397,6559,6631,6703,6811,6909,6988.9,7063,7335,7467,7665,7807,7949,8025.2,8102.4,8311,8459,8593,8663,8739,8841,8943,9017.2,9096.5
2071,2273,2939,3101,3257,3459,3623,3769,3941,4111,4229,4296,4380.6,4541,4611,4693,4797,4891,4949,5045,5265,5421,5563,5637,5719,5821,5915,5991.5,6067,6315,6475,6619,6693,6777,6879,6977,7051.8,7128.2,7397,7541,7733,7891,8015,8094.7,8172.3,8441,8501,8647,8723,8795,8913,9001,9086.6,9167
