r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
2727,2881,3043,3227,3399,3651,3805,3963,4040.1,4113.1,4293,4367,4437,4543,4647,4722.9,4796.7,5035,5177,5343,5415,5487,5593,5695,5773.5,5849.1,6119,6271,6437,6509,6581,6687,6791,6871,6946.7,7169,7311,7477,7551,7623,7731,7835,7907.5,7986.5,8223,8369,8565,8715,8871,8947.9,9023.9,9231,9379,9521,9595,9669,9771,9877,9954,10032,10537,10665,10833,10907,10977,11095,11189,11267,11344,11581,11729,11875,11951,12023,12133,12233,12309,12389
2785,2969,3139,3305,3483,3713,3879,4025,4093.3,4177.9,4351,4425,4505,4613,4709,4785.8,4862.6,5103,5257,5399,5473,5555,5667,5761,5837.7,5915.9,6183,6343,6495,6567,6653,6763,6855,6936.2,7012.9,7297,7377,7535,7611,7695,7805,7897,7975.1,8055.3,8287,8449,8629,8799,8939,9013.6,9095.4,9365,9445,9579,9653,9739,9847,9941,10024,10103,10565,10743,10889,10965,11047,11157,11255,11333,11413,11717,11793,11933,12009,12093,12203,12299,12378,12455
