r,l,r,l,r,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1829,1991,2255,2433,2711,2881,3031,3108.8,3181.3,3465,3591,3759,3831,3903,4007,4111,4187.2,4265.9,4503,4655,4823,4895,4967,5073,5177,5252.6,5330.6
1887,2133,2317,2533,2775,2953,3095,3158.8,3241.1,3509,3671,3813,3887,3971,4079,4177,4255.3,4333.1,4575,4739,4879,4953,5035,5147,5243,5319.4,5397.7
