l,l,l,l,l,l,w,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l
1971,2313,2613,2823,2993,3151,3323,3473,3651,3847,4043,4211,4437,4593,4721.4,4811,4887,5059,5135,5207,5311,5433,5503,5579,5775,5929,6059,6133,6207,6309,6427,6501,6577,6807,6965,7123,7191,7269,7451,7609,7739,7813,7885,7989,8109,8179,8255,8459,8609,8745,8817,8891,8995,9117,9185,9265,9495,9647,9835,9989,10143,10215,10291,10485,10639,10771,10845,10919,11023,11147,11217,11293,11533,11675,11861,12007,12147,12229,12307,12501,12657,12779,12855,12927,13033,13153,13223,13299,13549,13705,13877,13947,14023,14215,14367,14501,14575,14647,14755,14875,14947,15025,15247
2015,2373,2733,2905,3075,3231,3407,3561,3731,3923,4111,4287,4511,4677,4790.2,4863,4947,5121,5195,5279,5389,5463,5555,5659,5911,5989,6119,6195,6281,6391,6483,6561,6641,6881,7051,7177,7251,7333,7583,7671,7799,7877,7961,8073,8157,8233,8321,8601,8655,8803,8883,8965,9079,9171,9247,9331,9563,9719,9909,10077,10195,10275,10355,10625,10687,10835,10909,10995,11101,11199,11271,11359,11607,11755,11941,12101,12209,12289,12371,12643,12727,12841,12921,13007,13117,13205,13287,13365,13629,13797,13929,14005,14105,14363,14437,14565,14641,14727,14833,14929,15007,15085,15319
