l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,r,d,d,d,p,a,c,c,r,p,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,w,y,d,d,d,p,a,c,c
1809,1971,2149,2329,2511,2693,2895,3059,3207,3283.1,3354.9,3535,3607,3677,3779,3883,3955.3,4031.3,4257,4407,4561,4633,4703,4807,4911,4984.6,5061.5,5357,5505,5663,5737,5807,5915,6017,6090.7,6168.3,6375,6519,6665,6737,6807,6913,7013,7090,7165.9,7437,7585,7739,7816,7887.8,8085,8239,8363,8439,8511,8631,8721,8795.9,8873.5,9237,9387,9699,9837,10041,10193,10327,10402,10480,10663,10815,10947,11019,11091,11201,11301,11378,11456,11671,11819,11957,12031,12105,12205,12311,12387,12467,12721,12865,13027,13099,13175,13279,13383,13462,13536,13775,13979,14131,14265,14339,14417,14633,14791,14919,14993,15063,15171,15275,15352,15429,16199,16333,16515,16667,16801,16875,16957,17151,17305,17443,17519,17595,17703,17805,17882,17960,18327,18477,18637,18709,18783,18889,18993,19071,19149,19397,19549,19753,19905,20043,20123,20199,20447,20599,20727,20801,20875,20977,21085,21162,21241
1875,2083,2253,2409,2571,2769,2963,3133,3269,3332.8,3412.7,3589,3663,3745,3851,3945,4017,4097.4,4323,4483,4617,4693,4773,4883,4975,5039.9,5128.1,5421,5587,5725,5797,5879,5987,6081,6156.5,6231.5,6505,6585,6721,6797,6877,6985,7079,7149.4,7230.3,7505,7663,7803,7874,7956.6,8223,8303,8425,8499,8583,8691,8785,8854.5,8943.9,9305,9469,9765,9913,10111,10275,10391,10462,10542,10797,10887,11005,11081,11165,11271,11369,11445,11522,11799,11885,12015,12089,12173,12281,12379,12450,12531,12789,12947,13087,13161,13247,13353,13449,13525,13598,13839,14047,14213,14331,14406,14489,14769,14853,14977,15053,15135,15245,15339,15417,15495,16267,16405,16587,16745,16863,16940,17033,17295,17371,17505,17579,17667,17777,17873,17949,18027,18393,18553,18695,18771,18853,18963,19061,19134,19214,19463,19629,19827,19987,20113,20187,20271,20573,20639,20783,20861,20943,21055,21151,21229,21315
