l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c
2990.1,3160.6,3657.2,3844.3,4406.2,4567.2,4799.9,4960.2,5102.3,5165.7,5243.9,5419.8,5493.5,5564.9,5671.7,5772.4,5841.9,5923.2,6163.8,6314.8,6484,6556.1,6625.9,6736.5,6840.8,6910.5,6993.2,7247.9,7404.7,7566.6,7637.6,7710.1,7820.3,7924.1,8003.4,8079.3,8293.5,8440.5,8583.2,8657.2,8726.9,8837.3,8938.6,9012.2,9092.3,9323.2,9478,9610.6,9684,9755.6,9865.1,9967.4,10045,10123,10538,10695,10841,10912,10994,11191,11344,11498,11571,11644,11754,11858,11930
3062.8,3231,3750.2,3920.1,4449,4632,4855.4,5031.5,5151.3,5239.6,5316.8,5472.8,5547.9,5632.3,5736.5,5832.7,5919.5,5997.7,6225.5,6392.1,6534.9,6607.7,6690,6804.1,6901.2,6989.8,7068.3,7308.4,7480.6,7615.7,7692.2,7774.1,7882.3,7985.3,8048.8,8129.4,8420.2,8505.2,8632.5,8709.4,8794.4,8898.4,8999.8,9089.2,9171,9453.8,9532.6,9663.7,9738.7,9824.1,9933.2,10029,10115,10196,10604,10775,10904,10990,11071,11325,11411,11552,11626,11710,11824,11920,12093
