l,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1943,2207,2351,2521,2675,2845,3105,3263,3407,3482.9,3557.1,3739,3813,3885,3991,4093,4171.6,4249.1,4507,4655,4819,4893,4965,5079,5179,5254.9,5332.3,5573,5709,5905,6055,6195,6271.8,6349.7,6549,6701,6835,6911,6983,7089,7199,7277.8,7356.2,7675,7823,7985,8059,8131,8241,8345,8422.8,8503.1
2063,2263,2443,2603,2759,2923,3173,3343,3467,3533,3620.4,3795,3871,3953,4061,4157,4233,4319.2,4571,4741,4877,4951,5035,5145,5241,5323.2,5403.7,5639,5783,5969,6137,6259,6338.2,6417.1,6685,6763,6893,6969,7047,7165,7265,7346,7425.5,7741,7905,8041,8119,8201,8315,8411,8492.7,8572
