r,l,l,l,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,d,d,d,d,p,a,c,c,x,l,d,d,d,p,a,c,c,l,l,r,p,a,c,c,w,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1845,1985,2179,2339,2921,2993,3061,3175,3269,3347.4,3420.1,3675,3829,3989,4063,4137,4239,4339,4412.7,4489.7,4787,4935,5093,5163,5237,5343,5441,5517.4,5593.8,5827,5969,6139,6211,6283,6387,6489,6565.6,6645.1,7239,7383,7455,7531,7637,7739,7811.4,7889.6,8103,8279,8391,8467,8537,8645,8747,8823.3,8901.2,9159,9307,9511,9651,9785,9863,9940.5,10157,10435,10509,10581,10693,10793,10869,10949,11233,11389,11599,11673,11747,11857,11957,12037,12113
1885,2103,2265,2429,2973,3047,3131,3239,3331,3398.8,3477.9,3741,3909,4049,4119,4201,4303,4403,4472.8,4553.1,4853,5015,5149,5223,5309,5409,5507,5578.2,5658.5,5893,6049,6199,6269,6355,6463,6555,6631.8,6709,7291,7437,7513,7599,7703,7803,7877.7,7956.7,8231,8319,8453,8523,8607,8715,8813,8887,8963.8,9223,9381,9565,9731,9861,9929.8,10010,10289,10493,10567,10653,10765,10863,10936,11015,11301,11465,11661,11733,11819,11927,12025,12101,12184
