l,w,l,r,l,l,r,p,d,d,d,p,a,c,c,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,w,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1829.2,1968.1,2215.5,2612.6,2766.2,2914.8,3142.6,3296.7,3471.6,3543.6,3613.8,3720.4,3819.7,3891.5,3971.1,4187.7,4348.8,4536,4687.9,4840.9,4904.7,4983.2,5170.3,5321.9,5453.7,5525.5,5598.2,5704.9,5807.6,5881.2,5960.9,6168.6,6316.4,6453.6,6526,6597.6,6701,6805.5,6883.9,6956.9,7198.4,7349.9,7534.4,7678,7813.6,7886.2,7967,8157.7,8308.1,8430.4,8504.9,8577.2,8687.2,8789.4,8865,8943.1,9182,9328,9493.8,9566.1,9637.6,9743,9849.8,9924.8,10004,10191,10342,10495,10570,10641,10747,10852,10927,11007,11243,11377,11706,11862,11999,12076,12154,12341,12491,12618,12694,12765,12873,12975,13051,13130,13372,13553,13697,13838,13913,13992,14196,14348,14476,14549,14622,14731,14833,14906,14989,15309,15451,15694,15841,16005,16080,16154,16260,16369,16444,16524,16923,17072,17228,17302,17375,17485,17588,17661,17744
1867.8,2083.9,2295.6,2657.7,2841.3,2981.6,3201.7,3366.5,3517.9,3596.4,3678,3784,3878.6,3967.3,4042.1,4243.3,4416.6,4591.8,4757.8,4890.5,4978.1,5054,5298.4,5373.2,5504.8,5579.1,5659.8,5769.3,5867.5,5957.7,6032.3,6301.2,6375.7,6503.3,6578.8,6660.8,6768.5,6865.6,6924.5,7011.7,7254.5,7415.3,7592,7753.4,7874.3,7963.8,8040.4,8287.2,8369.7,8483.1,8558.4,8642.5,8753.7,8850.5,8931.2,9010.6,9241.8,9405.2,9543.9,9622.2,9704.8,9814.8,9911,9992.1,10070,10322,10403,10550,10623,10707,10820,10915,11001,11075,11298,11442,11774,11939,12063,12143,12222,12473,12554,12672,12749,12830,12942,13038,13124,13202,13432,13618,13778,13900,13981,14060,14328,14412,14527,14604,14689,14798,14895,14984,15065,15366,15517,15761,15920,16058,16136,16223,16334,16428,16512,16591,16984,17150,17282,17359,17443,17553,17648,17739,17819
