l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1961,2331,2511,2777,2943,3089,3273,3433,3567,3646.5,3721.5,3899,3971,4041,4147,4249,4325,4402.2,4635,4789,4957,5029,5099,5205,5311,5385,5463.1,5733,5883,6043,6117,6189,6299,6401,6477.7,6554.9,6765,6915,7113,7295,7443,7591,7665.8,7743.7,7933,8081,8203,8277,8347,8455,8557,8633,8712.7,8963,9113,9265,9339.8,9419,9623,9775,9911,9983,10055,10161,10265,10340,10420,10663,10879,11023,11163,11243,11320,11543,11693,11843,11917,11989,12097,12199,12276,12355,12689,12821,13031,13179,13315,13397,13471,13657,13809,13945,14019,14093,14201,14305,14381,14461
2037,2437,2587,2841,3011,3161,3343,3511,3633,3698.6,3778.2,3955,4029,4109,4217,4315,4391,4470.3,4703,4865,5013,5087,5169,5277,5375,5451.2,5530.1,5801,5959,6099,6173,6257,6367,6467,6544.4,6618.8,6899,6977,7187,7365,7521,7655,7732.1,7809.3,8063,8143,8259,8333,8415,8527,8623,8699,8779.7,9027,9195,9327,9407.2,9486,9759,9843,9963,10039,10125,10231,10329,10407,10485,10729,10945,11105,11231,11308,11388,11681,11757,11901,11975,12059,12169,12265,12343,12423,12753,12893,13101,13261,13379,13463,13538,13793,13877,14001,14079,14163,14271,14369,14450,14527
