w,l,l,l,r,l,l,r,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,l,r,l,l,r,p,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
7,115,1967,2167,2659,2845,3013,3321,3531,3765,3935,4139,4299,4465,4531,4607,4791,4865,4937,5041,5163,5231,5307,5545,5705,5873,5947,6019,6127,6245,6317,6391,6631,6787,6961,7035,7107,7215,7331,7399,7475,8127,8293,8461,8647,8803,8957,9023,9097,9279,9433,9563,9639,9711,9819,9935,10007,10083,10317,10471,10667,10821,10975,11043,11121,11321,11477,11623,11699,11771,11875,11995,12065,12143,12395,12547,12715,12789,12861,12969,13091,13161,13239,13499,13651,13825,13901,13975,14077,14193,14265,14341,14655,14829,15003,15375,15555,15723,15943,16103,16311,16513,16659,16817,16889,16963,17157,17315,17463,17537,17611,17719,17839,17909,17985
37,271,2097,2263,2727,2941,3107,3401,3597,3847,4021,4219,4389,4503,4583,4669,4849,4925,5013,5119,5213,5291,5373,5625,5791,5937,6007,6097,6199,6295,6377,6465,6709,6873,7021,7097,7185,7291,7381,7459,7541,8199,8377,8533,8731,8893,8999,9081,9183,9423,9485,9623,9697,9791,9893,9989,10069,10149,10391,10555,10739,10913,11027,11107,11201,11459,11543,11687,11763,11853,11955,12047,12125,12209,12473,12633,12783,12855,12945,13049,13145,13217,13303,13577,13747,13887,13967,14053,14159,14253,14329,14409,14721,14919,15087,15449,15635,15811,16021,16187,16383,16589,16753,16871,16949,17029,17301,17373,17527,17607,17693,17797,17893,17971,18053
