l,l,l,l,l,l,l,l,l,r,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
809,1955,2101,2439,2615,2647,2805,2957,3149,3393,3579,3763,3931,4185,4347,4543,4699,4849,4919,4993,5173,5247,5317,5421,5541,5609,5685,5931,6079,6243,6315,6389,6493,6611,6681,6757,7001,7183,7333,7487,7555,7631,7811,7963,8091,8167,8239,8343,8457,8531,8607
845,2013,2175,2565,2643,2737,2893,3057,3233,3463,3657,3845,4011,4255,4423,4621,4781,4889,4971,5053,5231,5305,5389,5499,5589,5665,5745,6007,6165,6303,6377,6463,6571,6663,6741,6819,7059,7269,7417,7533,7613,7695,7937,8011,8155,8231,8319,8423,8511,8585,8683
