l,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1931,2121,2287,2445,2607,2827,2989,3123,3199,3270.7,3455,3529,3597,3703,3803,3879.6,3951.3,4231,4353,4513,4587,4657,4759,4863,4935.5,5012.1,5271,5423,5581,5653,5723,5827,5931,6003.8,6080.4,6291,6437,6573,6645,6717,6829,6925,6998.5,7077.7,7329,7485,7659,7735,7803,7927,8015,8092.4,8169.5
2039,2217,2371,2519,2681,2895,3067,3185,3246.9,3328.5,3511,3585,3665,3771,3867,3935.7,4016.4,4275,4433,4569,4645,4727,4831,4921,4991.4,5076.2,5337,5499,5637,5713,5793,5899,5991,6061.2,6145.8,6423,6505,6631,6703,6789,6893,6991,7055.2,7141.5,7393,7571,7717,7793,7877,7987,8083,8157.2,8234.5
