l,l,r,l,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,r,l,l,r,p,a,c,c,x,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1811,1985,2221,2369,2603,2771,2927,3115,3351,3519,3647,3721.9,3797.4,3977,4047,4121,4231,4327,4407,4482.5,4777,4929,5089,5163.2,5242.4,5435,5583,6103,6259,6409,6595,6747,6883,6965.7,7038.9,7231,7511,7583,7655,7763,7865,7941.9,8021.5,8289,8425,8621,8769,8905,8983,9057.9,9239,9389,9517,9591,9663,9769,9873,9949.8,10028,10243,10397,10525,10595,10669,10775,10883,10961,11041,11291,11427,11637,11775,11909,11987,12066,12269,12423,12555,12633,12707,12817,12921,12997,13077,13313,13525,13677,13827,13911,13984,14179,14335,14475,14551,14623,14733,14839,14915,14997
1845,2085,2271,2519,2683,2843,2999,3191,3413,3587,3705,3775.5,3854.6,4033,4107,4189,4297,4393,4469.1,4546.5,4849,5003,5151,5221.6,5308.4,5567,5639,6167,6335,6481,6667,6831,6951,7024.9,7104.4,7359,7565,7641,7725,7835,7927,8007.7,8088.1,8351,8503,8687,8851,8965,9045.8,9124.2,9375,9459,9575,9647,9733,9841,9941,10016,10094,10383,10465,10579,10657,10741,10851,10945,11028,11106,11355,11493,11693,11857,11975,12054,12136,12409,12489,12617,12691,12779,12891,12985,13072,13146,13379,13597,13759,13891,13972,14052,14321,14399,14535,14611,14695,14805,14907,14983,15062
