l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,r,a,c,c,l,l,r,p,a,c,c,w,y,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1828.3,1985.2,2158.1,2318,2568.3,2738.3,2940.4,3087.3,3218.6,3289.9,3370.4,3559.3,3632.8,3703.8,3810.4,3910.2,3988.8,4063.1,4348.4,4497.1,4651.8,4723.5,4794.6,4900.5,5001.6,5073.3,5154.1,5406.4,5549.2,5712.3,5783.2,5855,5963.5,6063.2,6137.3,6214.8,6464.3,6597.5,6796.1,6957.2,7085.8,7160.5,7239.8,7433.2,7583.2,7712.8,7785.4,7856.5,7962,8065.4,8139.6,8218.2,8431.9,8583,8713.4,8785.9,8858.6,8964.1,9068,9141.6,9221.6,10112,10268,10407,10587,10723,10858,10934,11012,11181,11331,11445,11519,11589,11696,11798,11872,11951,12143,12298,12415,12487,12561,12671,12772,12845,12927,13159,13314,13502,13654,13794,13870,13950,14135,14292,14413,14488,14561,14663,14771,14845,14925,15177,15327,15529,15675,15824,15899,15978,16163,16321,16446,16519,16593,16699,16805,16877,16960
1888.2,2070.8,2232.2,2392,2623.4,2804,2998.8,3163,3276.6,3367.4,3443.6,3610.9,3686.6,3766.2,3874.3,3969.6,4032.8,4112.5,4406.3,4563.5,4700.9,4776.7,4861,4967.2,5062.2,5147.8,5227.3,5463.5,5623.9,5760.7,5832.2,5921.2,6029.2,6124.4,6202.8,6280.6,6525.6,6664.5,6864.5,7032.6,7146.6,7233.1,7306.6,7560.9,7648.3,7762.5,7840.2,7921.5,8032.3,8125,8206.8,8284.4,8559.2,8643.2,8764.8,8839.2,8924,9036.1,9129.6,9216.1,9289.5,10168,10334,10474,10646,10801,10919,10999,11073,11307,11386,11495,11574,11655,11764,11858,11948,12025,12273,12353,12467,12541,12628,12738,12831,12921,13001,13218,13378,13562,13734,13857,13937,14021,14273,14347,14466,14543,14626,14733,14833,14913,14993,15240,15399,15592,15753,15887,15969,16046,16303,16381,16500,16577,16659,16772,16867,16957,17034
