l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1975,2159,2477,2639,2787,3025,3175,3331,3405,3482.2,3671,3741,3813,3917,4021,4097.9,4174,4433,4583,4745,4817,4887,4991,5099,5173.7,5252.5,5513,5665,5825,5897,5969,6071,6179,6254.2,6332.3,6657,6803,6969,7041,7113,7223,7327,7400.3,7478.8,7771,7917,8107,8257,8393,8469.8,8547.5,8745,8891,9021,9097,9169,9277,9379,9460.8,9536.3
2047,2245,2537,2709,2859,3087,3247,3391,3466.4,3546.4,3725,3799,3879,3991,4085,4160.1,4240.5,4499,4663,4801,4875,4957,5065,5163,5238.9,5317.3,5581,5745,5881,5955,6039,6145,6241,6324,6399.7,6723,6885,7025,7101,7183,7293,7389,7469,7548.4,7829,7989,8179,8341,8455,8537.8,8620.8,8879,8957,9077,9155,9239,9347,9445,9526.1,9603.8
