l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c
2116.2,2288.2,2941.1,3092.6,3286.8,4118.9,4280.7,4434.2,4860,5013.1,5171.6,5239.7,5312.6,5504.9,5577,5647,5753.2,5854.3,5931.9,6003.7,6242.5,6387.5,6552.9,6624.2,6695.4,6797.6,6905.4,6979.6,7054.9,7317.5,7469,7635.5,7707.1,7777.8,7880.6,7985.7,8059.6
2198.2,2359.3,2990.9,3166.1,3352.2,4169.7,4340.7,4501,4898.9,5074.8,5220.9,5304.4,5382.2,5552.3,5626.5,5707.5,5809.3,5912,5971.2,6055.2,6300.4,6464.1,6604,6677.7,6759.1,6866.7,6964,7046.3,7123.6,7386,7545.3,7685.8,7761.2,7843.7,7951.2,8045.8,8208.4
