w,l,l,l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
499,1953,2573,2797,3239,3691,3855,4019,4239,4399,4555,4757,4917,5059,5127,5203,5389,5463,5533,5639,5753,5821,5897,6157,6311,6475,6551,6623,6725,6849,6917,6991,7281,7435,7605,7675,7751,7955,8103,8233,8305,8377,8481,8605,8669,8749,9019,9159,9347,9493,9641,9713,9789,9987,10141,10269,10345,10415,10521,10639,10709,10783,10987,11141,11275,11349,11421,11521,11641,11715,11791,12023,12179,12389,12541,12701,12769,12847,13039,13189,13313,13389,13463,13567,13689,13761,13837
557,2021,2705,2897,3379,3763,3937,4101,4319,4491,4633,4839,5003,5109,5185,5267,5447,5523,5605,5713,5809,5883,5963,6237,6401,6539,6615,6701,6809,6899,6981,7069,7361,7529,7659,7741,7819,8095,8171,8295,8371,8455,8567,8655,8733,8821,9089,9235,9429,9589,9703,9777,9857,10131,10191,10333,10409,10495,10601,10691,10777,10853,11135,11217,11339,11413,11501,11611,11699,11777,11859,12097,12257,12471,12639,12753,12833,12915,13179,13257,13377,13457,13543,13653,13733,13823,13905
