r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,p,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1982.2,2128.7,2322.8,2573.7,2746.1,2902.3,3096,3245.8,3376,3454.6,3526.4,3704.1,3774.1,3843.9,3949,4048.2,4117.9,4198.1,4489,4639.7,4803.9,4875.6,4946,5048.8,5154.8,5227.5,5303.8,5616.2,5751.1,5949.9,6095.5,6243.6,6313.2,6384.8,6616,6763.8,6892,6964.9,7037.7,7139.4,7246,7319.3,7396.7
2033.5,2243,2401.7,2638.3,2811.8,2977.5,3155.8,3318.4,3433.9,3496.2,3574.1,3752.5,3829,3909.8,4013.2,4109.7,4194.4,4270.8,4554.9,4718.1,4853.2,4927.5,5012.6,5116.4,5212,5298.4,5370.3,5673.8,5822.4,6013.2,6172.8,6293.2,6375.3,6456.1,6743,6824.8,6945.9,7019.3,7104.2,7211.6,7304,7384.8,7463.8
