l,l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
57,1593,1917,2129,2331,2497,3091,3269,3439,3613,3761,3977,4143,4295,4363,4439,4619,4693,4767,4871,4993,5061,5137,5377,5533,5693,5767,5841,6043,6197,6327,6399,6473,6579,6697,6767,6847,7055,7203,7341,7417,7489,7593,7715,7787,7863,8101,8249,8431,8573,8721,8795,8871,9063,9219,9359,9433,9503,9613,9733,9805,9881,10085,10245,10379,10453,10527,10635,10751,10825,10901,11125,11351,11553,11705,11847,11917,11995,12207,12365,12499,12577,12651,12755,12879,12947,13025
93,1633,2061,2253,2417,2581,3213,3361,3517,3695,3843,4059,4235,4345,4421,4503,4681,4757,4845,4955,5043,5115,5205,5455,5627,5751,5827,5913,6185,6261,6387,6465,6555,6663,6751,6831,6925,7199,7277,7405,7485,7573,7681,7767,7849,7929,8175,8323,8509,8667,8777,8859,8937,9213,9291,9425,9499,9587,9697,9787,9863,9949,10231,10299,10443,10521,10609,10723,10811,10891,10973,11205,11431,11631,11799,11903,11975,12065,12353,12423,12567,12643,12733,12843,12929,13017,13097
