l,l,l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l
781,1219,1371,1785,1941,2111,2823,2973,3155,3457,3647,3799,3989,4137,4283,4355,4431,4607,4681,4753,4855,4977,5045,5121,5349,5503,5663,5733,5809,5993,6143,6275,6351,6423,6531,6649,6713,6793,7017,7185,7339,7487,7559,7635,7829,7981,8121,8197,8267,8373,8493,8561,8637,8875,9019
813,1287,1447,1861,2031,2205,2891,3063,3243,3533,3735,3879,4071,4221,4333,4407,4495,4671,4743,4831,4935,5027,5109,5189,5423,5597,5713,5793,5877,6133,6213,6339,6419,6503,6615,6693,6779,6859,7085,7263,7427,7543,7625,7703,7979,8053,8189,8261,8347,8453,8547,8629,8715,8953,9099
