l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1978.1,2142,2315.8,2462.4,2610.8,2960.8,3137.8,3292.3,3490.6,3649.4,3795.5,3864.5,3939.4,4112,4186.5,4258.4,4368.4,4470.8,4543.6,4624.9,4828.8,4977.8,5101.1,5176.2,5248.1,5352.9,5462.4,5534.9,5615.8,5845.5,5995.5,6158.1,6234.5,6307.1,6417.2,6518.7,6592.4,6674.4,6912.1,7052.9,7239.8,7385.7,7523.8,7596.4,7678.3,7861.6,8016.8,8145.5,8220.3,8293.2,8402.1,8506.6,8588.2,8663.4,8863.6,9016.8,9141.8,9217.2,9289.5,9398.9,9503.2,9574.4,9657.3,9863.1,10019,10150,10224,10296,10405,10508,10586,10665,10886,11028,11212,11360,11496,11578,11652,11837,11992,12116,12191,12264,12374,12478,12550,12633,12870,13026,13183,13264,13342,13550,13705,13831,13905,13980,14087,14194,14266,14640,14788,14956,15029,15102,15212,15318,15390,15473,15693,15846,15984,16058,16132,16244,16350,16427,16507
2049.8,2199.3,2365,2517.7,2675.7,3016.9,3196.8,3356.1,3548.2,3714.1,3848.1,3933.4,4009.6,4160.8,4239.4,4322.4,4429.4,4535,4621.2,4697.9,4953.9,5037.8,5150.5,5230.3,5311.7,5423.6,5521.9,5611.1,5690.2,5903.2,6072,6209.3,6288.6,6372.9,6482.9,6582,6667.6,6748.6,6972.5,7121.7,7302.1,7458.9,7584.5,7674.8,7753.9,7994.8,8072.7,8197.1,8275.3,8359.2,8468.7,8572.5,8634.5,8715.2,8990.2,9070.6,9190.9,9271,9356.8,9462.7,9563.7,9653.9,9729.7,9993.8,10073,10201,10282,10364,10470,10571,10657,10733,10947,11098,11281,11435,11560,11646,11720,11976,12051,12168,12246,12331,12440,12541,12627,12708,12937,13099,13247,13337,13419,13687,13769,13884,13961,14046,14157,14259,14424,14698,14865,15007,15084,15169,15278,15382,15469,15545,15831,15912,16038,16117,16201,16308,16414,16497,16575
