l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1505,1971,2125,2283,2433,2663,2823,2965,3043.1,3116.9,3287,3357,3427,3527,3633,3707.9,3783.8,4021,4165,4329,4401,4473,4577,4681,4759,4830.8,5079,5229,5391,5463,5535,5639,5747,5820.4,5897.5,6151,6297,6453,6525,6597,6703,6809,6883.6,6961.2,7261,7399,7597,7751,7889,7962.7,8040,8229,8375,8517,8591,8663,8771,8875,8955.3,9028.9,9273,9413,9613,9761,9899,9975,10054,10261,10409,10551,10623,10697,10801,10905,10982,11061,11377,11527,11697,11771,11843,11953,12057,12133,12212
1591,2017,2209,2355,2509,2729,2903,3023,3092,3177.4,3339,3411,3495,3599,3693,3772.8,3852.1,4087,4243,4387,4459,4539,4647,4743,4813,4897.2,5147,5305,5445,5521,5605,5715,5807,5886.3,5966.1,6217,6375,6511,6583,6667,6773,6871,6951.2,7030.5,7321,7471,7667,7825,7949,8034,8110.2,8357,8439,8575,8647,8733,8841,8939,9016.6,9097.5,9335,9487,9681,9847,9965,10045,10123,10391,10477,10609,10679,10765,10875,10969,11052,11129,11445,11613,11755,11831,11913,12025,12121,12203,12281
