l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1987.8,2256.7,2456.2,2621.9,2779.1,2948.7,3643.1,3787.8,3941.9,4133.5,4282.8,4426.6,4497.7,4571.1,4750.1,4821.6,4894.2,5001.4,5117.9,5187.2,5262.6,5494.7,5644.9,5809.6,5882.7,5955.1,6063.5,6165.8,6246.5,6322.9,6640.7,6789.9,6962.2,7037.2,7108.6,7219,7324.2,7400.3,7478.7,7707.4,7858.1,7979.7,8053.4,8125.8,8234.7,8341.2,8415.9,8494.8,8755.1,8895.3,9099.6,9247.4,9391.8,9457.4,9547.9,9755.2,9905.6,10045,10119,10190,10299,10402,10476,10557,10812,10966,11163,11313,11457,11530,11613,11806,11957,12089,12164,12236,12346,12452,12532,12609
2021.2,2361.6,2539.2,2695.9,2867.4,3015.2,3697.5,3868.3,4004.4,4194.9,4354.9,4475.7,4567.8,4643.6,4801.3,4873.1,4956,5061.6,5165.8,5228.1,5313.1,5558.2,5718.1,5860.5,5936.9,6022.3,6131.4,6226.2,6287.6,6372.9,6702.6,6865.7,7013,7091.8,7176.9,7288.1,7382.6,7474.7,7552.2,7831.8,7919.8,8027.8,8107.9,8192.8,8303.6,8399.5,8482,8564.8,8814.7,8959.8,9162.2,9327.7,9452.2,9525.1,9592.5,9884.1,9965.6,10095,10173,10257,10367,10461,10553,10634,10870,11033,11226,11385,11519,11610,11689,11941,12022,12140,12218,12304,12417,12510,12573,12657
