l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2183.3,2339.9,3563.4,3738,3902.4,4297.2,4473.2,4752.9,4905.4,5056.6,5119,5198.6,5386.7,5459.2,5527.5,5635.1,5737.8,5807.8,6148.6,6295,6459.2,6531.3,6602.6,6709.1,6812.6,6891.8,6965.1,7290.8,7433.4,7594.9,7665.2,7736,7843.5,7946.7,8020.3,8098.3,8335.1,8486.2,8650.4,8722.4,8794.9,8897.2,9004.9,9079.4,9157.7,9491.8,9641.3,9821.2,9963.3,10107,10182,10258,10491,10635,10757,10829,10900,11008,11110,11182,11264
2227.8,2430.5,3661.6,3815.5,3973.7,4350.3,4538.1,4808.4,4975.3,5107.9,5191.7,5272.5,5435.2,5509.9,5591.2,5696.8,5797.5,5961.2,6203.4,6369.4,6506.8,6585.9,6668,6776.3,6875,6937.4,7016.4,7346.8,7508.5,7643.4,7719.5,7800.9,7910.2,8008.3,8081.6,8159,8402.5,8563.3,8701,8777.2,8861.9,8968.1,9068.5,9149,9225,9556.8,9703.3,9883.9,10041,10168,10244,10326,10619,10690,10810,10884,10966,11075,11171,11260,11336
