l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,p,d,d,d,p,a,c,c,r,p,a,c,c
1583,1947,2227,2387,2535,2749,2913,3057,3125,3203,3371,3445,3515,3615,3735,3805,3879,4125,4277,4437,4509,4579,4687,4805,4875,4951,5139,5289,5421,5495,5569,5673,5795,5865,5943,6313,6471,6645,6713,6789,6985,7135,7269,7341,7413,7517,7635,7705,7781,8679,8839,8995,9165,9313,9461,9529,9603,9789,9941,10065,10139,10215,10317,10435,10503,10581,10787,10937,11067,11141,11215,11319,11439,11509,11587,11789,11943,12093,12167,12239,12347,12469,12537,12613,12881,13045,13247,13393,13547,13617,13693,13893,14049,14179,14255,14329,14435,14551,14625,14703,14967,15115,15285,15357,15433
1651,2079,2295,2465,2611,2823,2999,3101,3175,3267,3433,3505,3591,3697,3787,3865,3943,4199,4367,4499,4571,4659,4765,4859,4935,5015,5275,5357,5485,5559,5645,5757,5845,5923,6009,6423,6575,6695,6775,6865,7119,7205,7329,7401,7491,7601,7689,7765,7845,8755,8917,9071,9245,9401,9509,9589,9669,9929,10013,10127,10201,10291,10399,10487,10565,10645,10925,11007,11129,11205,11289,11399,11491,11571,11665,11931,12011,12157,12235,12317,12431,12527,12599,12703,12945,13119,13325,13485,13597,13679,13775,14037,14113,14245,14319,14407,14515,14609,14687,14767,15043,15205,15339,15417,15521
