l,l,l,w,w,l,l,l,l,l,l,r,l,l,r,l,l,r,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1581,1737,1935,2103,2265,2419,2935,3093,3263,3433,3601,4143,4305,4489,4835,4999,5143,5371,5531,5689,5759,5833,6123,6273,6447,6519,6595,6789,6949.8,7079,7155,7227,7335,7453,7523,7599,7817,7957,8157,8309,8459,8529,8605,8807,8961,9091,9167,9239,9343,9467,9533,9613
1653,1865,2021,2189,2343,2509,3035,3203,3361,3523,3695,4221,4417,4583,4923,5083,5233,5453,5621,5737,5813,5903,6197,6369,6503,6579,6663,6927.5,7021,7141,7221,7307,7415,7501,7587,7667,7901,8039,8241,8397,8511,8593,8675,8955,9035,9155,9235,9325,9431,9523,9599,9683
