w,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
3228.7,3449.4,3641,3825,4505.4,4654,4794.8,5023.8,5177.7,5314.7,5380.5,5458.7,5630.6,5701.5,5772.2,5876.2,5980.1,6051.8,6133.4,6323,6396,6466.8,6573.6,6675.8,6748.2,6828.6,7054.2,7189.6,7361.7,7511,7643.6,7723.5,7796.8,7976.8,8127.3,8245.8,8320.2,8391.2,8498.8,8599.9,8669.8,8753.2,8965.2,9138.3,9285.4,9414.1,9489.9,9567.2,9750.5,9904.2,10020,10093,10165,10273,10374,10446,10528,10746,10882,11068,11216,11348,11423,11501,11677,11828,11948,12022,12094,12200,12306,12381,12461,12786,12936,13095,13168,13242,13350,13454,13526,13608,13827,13978,14114,14189,14261,14369,14471,14544,14626,14856,15008,15142,15218,15298,15503,15660,15786,15861,15934,16039,16149,16224,16304
3362.4,3559.8,3716.3,3887.1,4547.6,4714.1,4865.7,5082.7,5254,5365.3,5452,5530.8,5678.7,5755.3,5838.8,5946.8,6041,6130.3,6205.8,6372.7,6449.2,6532.4,6639.6,6735.1,6822.7,6905.3,7113.2,7255.8,7427.4,7590.1,7701.8,7766.3,7847.6,8108.6,8187.7,8296.5,8373.9,8454.9,8564.9,8658.3,8750.1,8824.3,9021.8,9196.6,9361.4,9476.2,9556.7,9634,9883.3,9964.3,10072,10147,10230,10341,10434,10524,10603,10804,10947,11132,11291,11410,11492,11570,11808,11893,11998,12077,12162,12271,12368,12448,12530,12850,13016,13148,13223,13306,13419,13513,13605,13682,13964,14047,14166,14242,14327,14435,14532,14619,14701,14920,15088,15204,15286,15364,15642,15718,15839,15919,16001,16113,16211,16293,16372
