r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1673,1827,1975,2165,2369,2529,2677,2754.9,2826.9,3015,3087,3159,3261,3365,3443.9,3517.6,3757,3907,4077,4151,4221,4325,4427,4505.1,4581.6,4821,4963,5129,5201,5273,5379,5483,5556.9,5635,5863,6007,6169,6241,6317,6419,6525,6598.7,6675.7,7307,7475,7639,7845,7989,8125,8200.2,8278.2,8465,8617,8745,8819,8889,8993,9099,9175,9250.6,9487,9627,9827,9971,10107,10184,10261,10457,10613,10743,10817,10891,10997,11099,11176,11256
1725,1897,2049,2243,2429,2601,2741,2802.5,2883.4,3071,3145,3227,3333,3431,3497.9,3583.1,3823,3983,4135,4209,4295,4399,4495,4561.7,4647.9,4891,5047,5185,5259,5343,5453,5547,5622.7,5703.6,5991,6069,6227,6299,6383,6489,6589,6654.7,6742,7375,7545,7711,7915,8069,8189,8265,8345.5,8601,8681,8805,8875,8961,9069,9159,9234.3,9317.9,9553,9697,9891,10049,10175,10246,10327,10599,10677,10797,10877,10961,11067,11167,11243,11320
