l,l,l,r,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,l,l,p,a,c,c,x,y,d,d,d,p,a,c,c
1951,2133,2313,2567,2733,3231,3381,3585,3745,3891,3966.2,4041.4,4231,4299,4369,4469,4573,4648.3,4723.9,4969,5119,5281,5351,5423,5523,5629,5701.4,5779.5,6023,6177,6343,6409,6483,6587,6689,6765.8,6845,7095,7243,7405,7477,7549,7651,7757,7836.2,7909.6,8293,8469,8637,8709,8783,8889,8989,9069.5,9143.6,9375,9523,9717,9869,10003,10083,10159,10351,10497,10623,10697,10767,10875,10975,11050,11127,11385,11589,11729,11873,11951,12028,12231,12381,12531,12605,12673,12783,12885,12961,13040,13773,13929,14087,14281,14423,14555,14629,14707,14909,15061,15195,15269,15339,15447,15549,15625,15704
2035,2207,2391,2631,2807,3295,3453,3655,3823,3953,4021.7,4099.1,4279,4355,4437,4541,4637,4713.2,4790,5037,5195,5335,5409,5491,5597,5693,5767.5,5843.6,6093,6257,6391,6467,6549,6659,6755,6832.5,6908.6,7165,7323,7463,7535,7617,7725,7821,7898.6,7976.6,8359,8549,8697,8769,8851,8959,9055,9131.4,9210,9439,9599,9787,9949,10069,10146,10223,10483,10559,10681,10755,10839,10943,11039,11115,11194,11447,11653,11807,11939,12015,12095,12365,12447,12589,12665,12745,12851,12953,13030,13105,13833,13997,14153,14337,14497,14615,14695,14771,15035,15105,15253,15325,15411,15519,15615,15696,15772
