w,w,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c
1944.6,2196.8,2417.6,2773,2921.6,3074.8,3250.6,3419.1,3567,3638.8,3711.9,3885.7,3959.8,4029.2,4134.7,4237.8,4309.1,4391.6,4613.1,4768.3,4929.7,5001.7,5074.7,5178,5283.9,5353.7,5435.9,5626.7,5776.5,5907.6,5980.9,6054.4,6159.2,6264.9,6338.1,6418.6,6615.4,6768.2,6905.6,6980.6,7053.5,7160.7,7265.8,7340.2,7418.8,7648.8,7797.6,7981.4,8130.7,8264.5,8340.9,8418.4,8607.1,8759.6,8885.2,8959.8,9031.3,9136.5,9243.6,9318,9396,9601.3,9755.8,9887.6,9961.7,10034,10140,10246,10321,10401,10637,10792,10982,11130,11275,11339,11422,11616,11772,11893,11967,12040,12149,12253,12329,12406,12672,12814,13017,13167,13305,13383,13461,13663,13816,13944,14020,14093,14204,14308,14382,14463,14714,14849,15103,15258,15400,15477,15558,15756,15912,16044,16118,16193,16300,16408,16482,16564,16833,16982,17171,17324,17484,17558,17633,17739,17847,17923,18001
2094.4,2332.9,2502.2,2819.4,2997.4,3146.7,3316.4,3494.1,3615,3682.9,3762.5,3937,4010.4,4092.3,4200.8,4297.2,4388,4461.5,4680.5,4848.8,4980.7,5055.6,5139.2,5251,5344.7,5430.4,5511.9,5750.8,5839.5,5959.1,6033.5,6120.2,6233.5,6326.5,6411.8,6489.9,6748.5,6832.5,6957.3,7036,7120.4,7233.5,7326.5,7410.5,7490.8,7711.8,7866.6,8051.8,8207.8,8327.2,8414.7,8489.3,8739.7,8826.1,8939.4,9014.6,9099.2,9210.9,9305,9387.7,9465.3,9735.8,9825.3,9941.1,10017,10103,10212,10309,10391,10474,10701,10863,11047,11211,11325,11419,11501,11753,11836,11948,12023,12109,12218,12315,12401,12482,12733,12883,13083,13248,13367,13457,13535,13800,13884,14001,14076,14160,14273,14370,14451,14535,14776,14917,15177,15341,15464,15552,15631,15895,15979,16098,16178,16262,16374,16471,16554,16633,16896,17052,17244,17410,17539,17617,17701,17815,17907,17996,18076
