l,l,l,w,l,l,l,l,r,l,l,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c
915,1513,1755,4729,4963,5115,5287,5443,5613,5775,5923,6101,6269,6449,6591,6741,6807,6881,7071,7223,7341,7413,7485,7589,7709,7777,7853,8051,8203,8329,8403,8473,8577,8699,8767,8841,9109,10215,10363,10571,10721,10867,10937,11013,11201,11353,11471,11547,11617,11721,11843,11909,11987,12185,12335,12469,12543,12615,12715,12857,12905,12981,13189,13341,13501,13575,13651,13853,14005,14143,14219,14291,14395,14515,14581,14659,14953,15111,15283,15349,15425,15633,15783,15927,16001,16071,16179,16295,16367,16443,16689,16847,17011,17079,17155
945,1547,1857,4885,5055,5207,5373,5529,5683,5853,6001,6179,6345,6525,6673,6773,6861,6941,7209,7289,7393,7475,7557,7667,7755,7837,7917,8183,8267,8389,8463,8547,8659,8749,8829,8907,9173,10285,10447,10647,10807,10913,10991,11071,11337,11419,11531,11607,11691,11803,11893,11971,12063,12327,12401,12529,12605,12689,12799,12885,12965,13049,13261,13435,13557,13633,13713,13993,14077,14205,14281,14365,14475,14563,14643,14725,15029,15201,15327,15409,15493,15775,15839,15989,16065,16149,16257,16349,16429,16509,16761,16935,17061,17143,17223
