r,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1972.8,2114.5,2295.2,2567.2,2742.1,2939.8,3084.4,3212.3,3283.1,3362.8,3534.6,3607.2,3677,3783,3882.3,3961.4,4034.8,4265.6,4413.8,4572.8,4645.8,4714.5,4818.2,4922.6,4997,5074.6,5278.3,5424.2,5560.4,5632.4,5702.3,5812.6,5915,5986.9,6065.3,6286.7,6433.3,6618.5,6765,6900.6,6974.9,7052.6,7241.8,7388.3,7515.8,7588,7659.6,7761.2,7868.4,7942.4,8018.8,8227.3,8379.2,8520,8593.1,8664.8,8769.5,8876,8949.9,9030.2,9350.2,9519.2,9719.2,9867.7,10014,10080,10159,10383,10536,10666,10740,10812,10914,11020,11096,11176,11424,11567,11794,11942,12080,12152,12235,12442,12594,12725,12801,12874,12985,13087,13162,13242
2022.9,2216.4,2368.5,2626.3,2813.1,2997.3,3158.7,3270.9,3358,3437.3,3587.2,3660.9,3739.9,3845.9,3942.6,4003.8,4084.2,4325.3,4494.1,4623.9,4698.1,4783.2,4890,4980.4,5063.1,5140.8,5405.1,5488.9,5612.9,5686.2,5770.6,5879.7,5975,6060.3,6141.9,6347.8,6500.6,6680.2,6844.5,6958.2,7041.6,7122.6,7366.8,7451.8,7566.9,7640,7725.3,7832.9,7925.8,8013.7,8092.9,8358.7,8447.8,8570.6,8648.6,8730.3,8842.5,8936.3,9019.8,9102.2,9408.1,9593,9789.8,9945.7,10068,10152,10231,10520,10604,10720,10795,10878,10988,11080,11167,11245,11480,11638,11866,12024,12143,12232,12319,12581,12662,12779,12858,12942,13054,13147,13233,13313
