l,l,l,l,l,l,l,r,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,r,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l
111,321,597,1179,1791,1937,2113,2303,2431,2865,3087,3249,3511,3679,3835,4039,4199,4341,4409,4487,4667,4743,4813,4917,5035,5105,5181,5407,5567,5737,5809,5883,6105,6255,6389,6461,6531,6635,6755,6823,6899,7135,7287,7451,7521,7595,7793,7943,8077,8149,8221,8327,8443,8511,8587,8819,8973,9123,9193,9269,9475,9629,9753,9829,9899,10007,10125,10193,10269,10615,10765,10911,10993,11067,11271,11421,11559,11635,11707,11815,11933,12003,12077,12347,12489,12679,12835,12985,13055,13129,13321,13471,13603,13677,13749,13851,13969,14041,14117,14769
139,351,641,1291,1857,2029,2195,2347,2557,3003,3167,3325,3585,3749,3903,4111,4281,4387,4467,4549,4725,4803,4887,4991,5089,5165,5245,5479,5647,5793,5867,5947,6249,6317,6445,6519,6605,6713,6805,6881,6969,7209,7373,7503,7575,7663,7935,8013,8137,8213,8295,8405,8491,8571,8651,8891,9059,9175,9253,9351,9623,9685,9817,9895,9975,10085,10177,10253,10331,10687,10849,10973,11053,11135,11419,11491,11623,11697,11781,11893,11985,12065,12145,12411,12565,12757,12925,13041,13115,13193,13467,13537,13665,13741,13825,13931,14025,14103,14187,14833
