r,l,l,l,l,l,l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,p,d,d,d,p,a,c,c
971,1351,1775,1957,2125,2303,2519,2677,2869,3105,3259,3459,3637,3801,4009,4173,4319,4389,4465,4651,4725,4797,4899,5021,5091,5167,5399,5547,5711,5787,5859,5965,6085,6157,6233,6501,6679,6831,6979,7047,7125,7307,7457,7585,7659,7733,7837,7955,8025,8103,8335,8481,8671,8817,8969,9039,9115,9311,9459,9587,9661,9735,9839,9959,10031,10107,10317,10467,10591,10665,10737,10845,10965,11033,11111,11355,11535,11691,11843,11913,11989,12187,12337,12471,12545,12619,12723,12843,12913,12991
1015,1415,1855,2051,2225,2391,2609,2769,2943,3181,3341,3533,3709,3879,4087,4257,4371,4441,4529,4709,4785,4871,4979,5073,5153,5231,5469,5639,5771,5849,5931,6047,6139,6217,6297,6569,6755,6919,7029,7109,7189,7447,7521,7649,7723,7807,7917,8009,8087,8165,8405,8565,8751,8905,9019,9095,9193,9449,9525,9649,9727,9811,9919,10015,10095,10173,10453,10541,10653,10731,10817,10925,11017,11093,11177,11423,11613,11781,11895,11975,12055,12333,12407,12533,12611,12697,12807,12895,12977,13061
