l,l,l,l,l,l,r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
677,835,1431,1589,1781,1957,2147,2305,2527,2699,2863,3123,3289,3441,3513,3589,3777,3851,3919,4025,4147,4215,4291,4709,4867,5045,5113,5189,5383,5531,5663,5739,5809,5911,6031,6103,6179,6417,6571,6741,6815,6889,6993,7111,7185,7261,7519,7653,7845,8005,8153,8223,8299,8495,8637,8781,8853,8925,9033,9153,9223,9299,9527,9667,9857,10007,10151,10221,10295,10521,10667,10813,10887,10959,11063,11179,11253,11331
713,955,1509,1675,1881,2037,2211,2389,2593,2779,2933,3195,3369,3491,3569,3651,3835,3909,3991,4103,4197,4275,4353,4781,4951,5105,5171,5253,5521,5599,5727,5803,5887,5991,6087,6165,6245,6491,6659,6803,6877,6963,7075,7169,7243,7329,7577,7729,7927,8093,8205,8283,8363,8635,8711,8839,8917,8999,9115,9201,9283,9361,9599,9743,9933,10091,10203,10281,10363,10659,10733,10875,10953,11035,11147,11237,11315,11395
