r,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1982.4,2132.2,2295.3,2459.9,2633.5,2954.8,3116.2,3276.7,3486.1,3638.3,3775.4,3856,3931.2,4111.1,4188.2,4261.3,4365.3,4485.6,4555.2,4630.5,4880.4,5032.3,5177.9,5252.7,5332.9,5528,5682.1,5816.4,5890.5,5962.5,6066.6,6179.2,6255.1,6334.5,6590.5,6745,6913.4,6986.4,7059.9,7164.8,7275.1,7350.8,7430,7650.8,7803.3,7953.5,8029.2,8102.6,8207.8,8318.3,8394,8475.5,8692.4,8845.5,8983.5,9060.5,9134.1,9238.2,9349.4,9426.4,9506.2,9713.2,9866.4,10001,10077,10150,10254,10365,10441,10536,10781,10935,11084,11169,11244,11470,11621,11748,11824,11897,12003,12113,12174,12269,12527,12677,12854,12927,13001,13107,13217,13301,13373,13605,13761,13901,13978,14052,14159,14272,14354,14442
2050.8,2227.8,2383.2,2546.8,2713.8,3022.2,3193.7,3358.2,3559.4,3723.1,3843.5,3900,3983.8,4168.7,4250.7,4334.5,4443.7,4523.6,4595.4,4679.2,4952.7,5119.3,5245.2,5325.3,5416.6,5675.7,5756.9,5874.5,5953,6035.1,6147.2,6248.3,6326.8,6405,6662.4,6835.8,6975.7,7048.8,7139.7,7243,7345,7426.7,7500.6,7790.1,7883.3,8008.8,8093.7,8179.2,8290.1,8388.6,8472.4,8557.5,8838.5,8912.3,9046.9,9124.1,9208,9319.2,9415.8,9502.9,9579.3,9850.9,9938.4,10063,10138,10224,10338,10431,10509,10604,10860,11031,11142,11223,11332,11608,11703,11806,11889,11973,12084,12153,12259,12358,12605,12761,12917,12995,13076,13188,13274,13359,13460,13744,13835,13962,14042,14131,14240,14330,14432,14518
