w,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2837,3158.3,3328.2,3519.5,3674.2,3825.9,3888.3,3964.1,4144.6,4215.5,4285.4,4387.7,4489.4,4567,4639,4873.1,5023.4,5186.5,5256.5,5326.9,5432.8,5533.7,5608.4,5684.4,5988.4,6143.2,6306.5,6377.2,6448.7,6553.7,6654.8,6727.7,6803.8,7182.8,7343.6,7507.2,7577.6,7648.5,7754.7,7857.3,7930.3,8009.4,8220.9,8365,8488.9,8560.9,8633.3,8741.6,8841.5,8915.2,8991.4,9230.2,9375.3,9527.2,9598.2,9668.6,9771.9,9878.1,9953.2,10031,10406,10557,10726,10797,10869,10977,11081,11156,11233,11483,11632,11819,11957,12089,12163,12241,12443,12594,12721,12793,12864,12972,13075,13153,13228
2940.8,3211.2,3385.2,3570.9,3736.9,3872.8,3959,4038,4191,4264.9,4348.1,4456,4546.9,4609.3,4687.9,4933.1,5093.9,5235.1,5311.3,5393.8,5499.6,5591.9,5672.8,5753.6,6044.5,6207.9,6354.2,6431.3,6515,6617.2,6712.3,6795,6873.5,7244.5,7417.6,7557.6,7631,7713.8,7820.1,7917.1,7995.1,8073.2,8346.7,8422.9,8540.8,8617.8,8700.6,8808.4,8900.5,8972.2,9059.3,9355.1,9430.8,9578.8,9654.9,9734.8,9844.7,9939.4,10022,10103,10469,10628,10776,10853,10938,11047,11142,11229,11302,11539,11694,11877,12036,12149,12232,12312,12577,12654,12772,12848,12931,13040,13134,13218,13297
