r,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1821,1971,2361,2527,2697,2869,3087,3241,3377,3452.8,3526.7,3697,3769,3841,3945,4055,4121.8,4197.9,4523,4673,4843,4915,4983,5091,5195,5271,5346.4,5699,5845,6005,6077,6151,6251,6357,6433.9,6510.8,6967,7121,7287,7359,7431,7537,7639,7715.5,7793.2,8043,8191,8399,8549,8701,8777,8854.3,9055,9201,9357,9431,9503,9607,9713,9789.6,9869.2
1861,2089,2419,2609,2773,2939,3155,3317,3437,3506.8,3588.9,3749,3825,3909,4015,4109,4184.2,4266.3,4591,4753,4897,4971,5051,5163,5257,5334.7,5412.4,5765,5923,6061,6133,6219,6323,6421,6498.9,6579.6,7033,7203,7341,7417,7501,7607,7703,7782.1,7859.7,8103,8263,8455,8631,8767,8844.1,8921.4,9181,9267,9413,9489,9573,9681,9777,9857,9935.8
