l,l,l,l,l,w,l,r,l,w,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1807,1939,2457,3133,3275,3571,3809,4459,4613,4759,4963,5125,5279,5351,5425,5603,5677,5749,5853,5975,6043,6119,6345,6495,6661,6733,6807,6911,7031,7099,7177,7391,7541,7667,7743,7813,7921,8037,8109,8185,8427,8579,8733,8811,8889,9085,9237,9381,9455,9525,9631,9747,9817,9893,10125,10309,10459,10607,10679,10755,10957,11111,11245,11319,11391,11493,11615,11683,11759,12005,12199,12349,12491,12569,12649,12877,13035,13175,13247,13321,13423,13545,13613,13691,13983,14137,14297,14371,14443,14549,14667,14739,14815,15079,15239,15407,15485,15555,15663,15783,15851,15929
1851,2021,2581,3179,3367,3703,3891,4533,4697,4837,5041,5209,5325,5401,5487,5663,5737,5823,5933,6017,6101,6187,6419,6583,6719,6799,6881,6995,7081,7163,7241,7529,7609,7731,7805,7891,8001,8097,8167,8249,8503,8677,8805,8875,8955,9227,9305,9443,9521,9607,9713,9801,9879,9961,10195,10389,10549,10663,10741,10821,11103,11181,11309,11383,11467,11579,11665,11747,11833,12081,12279,12443,12551,12633,12723,13029,13103,13237,13315,13399,13507,13593,13677,13759,14061,14227,14363,14439,14521,14631,14723,14803,14889,15161,15329,15475,15549,15633,15743,15839,15917,15997
