l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,w,y,d,d,d,p,a,c,c,l,r,p,a,c,c
1725.1,1959.2,2104.9,2263.1,2444.7,2777.2,2936.6,3091,3280.9,3432.2,3566.2,3643.8,3717.2,3891.9,3964.7,4036.5,4142.3,4243.1,4322.1,4396.2,4667,4818,4979.1,5051.9,5123.5,5231.2,5333.1,5403.7,5484.3,5751.7,5903.3,6065.2,6140.5,6211.3,6319.8,6422.3,6503.2,6577.5,6882.5,7035.2,7201.8,7274.3,7346.3,7455.4,7557.8,7633.8,7712.9,7982.5,8123.2,8312.7,8461.1,8595.1,8668.6,8751.8,8943.2,9095.2,9227.8,9301.9,9372.5,9482.6,9585.7,9666.7,9741.9,9994,10216,10367,10521,10585,10667
1797,2017.6,2171.1,2338.7,2509.8,2827.6,2996.3,3145.2,3333.3,3500.8,3623.6,3683.6,3766.8,3941.8,4018.1,4098.9,4206.2,4301.4,4391.2,4470.2,4726,4893.1,5030.2,5108.2,5189.8,5295,5392.4,5479.2,5559.4,5809.6,5980.2,6112.2,6191.5,6275.9,6386.5,6482.7,6570,6624.2,6941.9,7110.3,7250.3,7324.6,7411.5,7520.5,7618.3,7708.8,7789.4,8042.3,8188.4,8373,8538,8656.9,8748.7,8825.9,9074.3,9151.3,9279.2,9353.7,9436.8,9546.3,9648.3,9712.4,9790.2,10054,10272,10443,10574,10663,10743
