w,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1935.2,2175.8,2319,2517,2777.8,2939.4,3085.8,3262.5,3410.5,3533.3,3604.5,3684.8,3857.3,3928.6,3998.5,4105.4,4207.6,4281.6,4359.2,4587.2,4732.6,4888.8,4960.9,5033.2,5141.6,5243.2,5321.7,5395.7,5590,5740.2,5873.6,5945.7,6016.5,6124.2,6227.8,6302.3,6378.9,6613.9,6746.7,6930.4,7076.4,7216.3,7291.3,7367.3,7545.1,7695.6,7826.7,7900.2,7971.7,8079.8,8180.7,8255,8331.8,8579,8712.2,8901.9,9042.7,9178.2,9252.9,9331.8,9504.6,9660.8,9780.8,9853.9,9925.8,10034,10137,10209,10291,10488,10641,10771,10846,10919,11022,11130,11204,11285
2009.2,2214.3,2443.2,2594.3,2831.7,3003.9,3149.5,3323.1,3474.9,3591.8,3677.8,3754.7,3906.8,3982.8,4065.7,4172.7,4264.9,4354.6,4429.5,4648.7,4800.6,4936.7,5015.4,5097.6,5207.6,5300.1,5366.1,5443.2,5722.1,5801,5923.6,5999.4,6081.3,6186.8,6286.4,6361.6,6446.2,6673.5,6816.9,6989.1,7151.6,7273.9,7356.6,7434.7,7675.4,7750.4,7875.4,7952.8,8037.2,8141.7,8240.9,8321.7,8401,8634.3,8775.1,8960.8,9118.1,9238,9315.8,9400.1,9643.4,9722,9831.5,9907.8,9992.3,10102,10198,10287,10364,10622,10707,10825,10900,10986,11095,11192,11271,11352
