l,l,r,l,l,r,l,l,l,r,p,a,c,c,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1866.9,1981.5,2639,2810.8,2973.4,3204.5,3387.3,3544.4,3705.5,3911.7,4067.5,4205.3,4285.4,4361.4,5392.3,5555.7,5709.4,6090.8,6236.1,6387,6456.3,6532,6702.1,6776.9,6850,6953.2,7062.4,7137.2,7215.8,7480.3,7632.1,7810.9,7883.7,7957.3,8062.2,8174.7,8248.2,8327.8,8643.7,8799,8965.6,9039.9,9112.3,9219,9333.1,9406.7,9487.8,9744.3,9898.7,10065,10140,10214,10320,10431,10506,10586,10833,10979,11111,11188,11265,11364,11475,11551,11632,11903,12055,12248,12401,12550,12626,12706,12916,13065,13206,13283,13353,13460,13575,13651,13732
1918.9,2103.4,2708,2895.7,3057.3,3280.7,3470.1,3622.3,3787.2,3986.2,4155.5,4270.9,4326.2,4413.7,5461.5,5644.1,5794.7,6162.6,6313.2,6422.2,6500,6583.7,6759.1,6837.7,6917,7034.6,7128.1,7199.4,7279.6,7555.6,7720.9,7871,7941.2,8030.3,8145.5,8234.6,8321,8399.4,8719.3,8891.3,9030.1,9108.7,9184.7,9303.8,9393.8,9470.1,9556.4,9823.3,9988.7,10125,10202,10286,10401,10491,10578,10658,10967,11047,11171,11250,11340,11443,11541,11615,11697,11974,12135,12320,12489,12617,12697,12776,13055,13144,13274,13349,13449,13544,13637,13722,13806
