w,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1933.6,2158.9,2330.7,2495.1,2743.5,2906.8,3052.2,3271.3,3426.8,3555.5,3628.8,3708.8,3889,3960.6,4032.1,4139.1,4241.5,4322.3,4396.7,4634.3,4784.2,4949.8,5022.3,5095,5204.5,5307.8,5380.5,5460.2,5695.7,5827.5,6024.2,6172.9,6310.6,6387.9,6463.9,6636.5,6791.5,6917.4,6989.7,7062.4,7170.8,7272.1,7347,7424.4,7652,7795.9,7979.8,8122,8262.4,8338.7,8416.2,8596.6,8747.7,8878.1,8951,9022.6,9127.1,9234.4,9308.4,9389.1,9675,9816.9,10015,10159,10292,10367,10446,10652,10805,10934,11008,11080,11185,11291,11366,11445,11677,11845,11993,12137,12214,12292,12478,12631,12757,12830,12903,13015,13118,13194,13274,13508,13666,13870,14022,14161,14235,14315,14512,14667,14795,14868,14942,15051,15154,15232,15310,15612,15765,15995,16148,16303,16369,16449,16640,16793,16924,16999,17071,17176,17283,17354,17437
2039.4,2239.7,2408.5,2581.5,2795.5,2972.6,3114,3331.6,3497.8,3616.5,3700,3779.6,3937.5,4011.7,4095.8,4203.2,4303,4365.3,4449,4691.5,4861.8,4999.2,5078.1,5163.9,5271.3,5364.8,5456.9,5537.2,5751.4,5898,6083.9,6251.1,6374.5,6451.1,6530.2,6771.4,6847.3,6968,7043.2,7125.8,7236.9,7331,7415.9,7492,7708.4,7861.4,8039.1,8199.2,8320.9,8404.5,8483.6,8726.3,8809.1,8928.2,9005.2,9089.5,9199.1,9295.2,9377.1,9455.4,9730.3,9885.2,10078,10236,10354,10436,10514,10788,10866,10986,11062,11147,11257,11353,11431,11511,11735,11913,12074,12197,12281,12361,12612,12690,12812,12885,12969,13081,13179,13263,13343,13571,13738,13936,14107,14224,14305,14385,14652,14726,14848,14924,15009,15121,15216,15301,15379,15669,15830,16060,16226,16354,16438,16518,16774,16857,16977,17052,17140,17249,17345,17434,17516
