l,l,l,l,l,r,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1925,2129,2347,2505,2669,2877,3047,3217,3363,3519,3591,3659,3761,3865,3941.1,4012,4231,4377,4533,4603,4671,4775,4877,4950.7,5026.6,5287,5441,5599,5671,5741,5843,5949,6030.1,6102.3,6343,6481,6635,6709,6779,6885,6989,7063.4,7140.8,7335,7481,7609,7681,7751,7855,7961,8035.5,8112.3,8467,8617,8759,8835,8909.4,9115,9263,9413,9487,9557,9665,9771,9848.6,9921.8,10267,10423,10575,10647,10717,10823,10927,11003,11081
2039,2255,2425,2571,2743,2929,3111,3279,3433,3573,3643,3725,3829,3925,3997.4,4072.7,4293,4451,4583,4657,4739,4841,4935,5016.5,5093.3,5355,5519,5655,5727,5809,5913,6013,6092.4,6167,6399,6557,6689,6765,6849,6955,7047,7126.9,7204.3,7465,7539,7665,7739,7821,7927,8023,8099.1,8177.2,8531,8691,8821,8898.5,8975.1,9247,9325,9467,9545,9625,9731,9835,9911.2,9985.1,10325,10489,10631,10703,10787,10895,10993,11069,11148
