l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
2839,3013,3215,3385,3545,3857,4061,4219,4415,4583,4701,4778.7,4852.7,5029,5101,5173,5281,5387,5463,5539,5769,5921,6079,6153,6227,6343,6435,6511,6588.2,6837,6979,7141,7213,7283,7391,7495,7575,7647.8,7901,8051,8211,8283,8357,8465,8569,8645,8723.8,8961,9109,9235,9311,9383,9511,9597,9672.2,9752.5,10099,10251,10415,10487,10559,10667,10771,10848,10928,11141,11293,11435,11507,11581,11683,11793,11870,11948
2923,3103,3293,3455,3617,3919,4125,4289,4485,4645,4759,4831.3,4910.5,5087,5159,5243,5351,5447,5523.9,5603.6,5835,6001,6137,6213,6297,6403,6499,6575.3,6656.1,6909,7061,7195,7271,7355,7463,7559,7635.1,7714.2,7971,8131,8269,8345,8429,8537,8631,8709.2,8791.2,9089,9155,9295,9371,9453,9565,9661,9740,9821.1,10169,10329,10471,10547,10631,10739,10835,10916,10995,11271,11357,11489,11565,11647,11759,11857,11939,12017
