l,l,l,l,l,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l
3673,3895,4069,4253,4477,4835,4991,5133,5355,5531,5683,5753,5827,6041,6191,6319,6395,6469,6571,6695,6761,6837,7047,7203,7323,7399,7473,7577,7699,7771,7845,8121,8311,8459,8607,8673,8749,8961,9133,9277,9421,9495,9567,9747,9901,10029,10101,10173,10279,10393,10467,10545,10789
3799,3989,4155,4353,4557,4903,5081,5213,5431,5615,5729,5809,5891,6175,6259,6381,6457,6545,6657,6741,6823,6911,7195,7275,7381,7465,7551,7661,7749,7827,7911,8193,8393,8547,8659,8733,8815,9039,9209,9367,9477,9553,9635,9885,9969,10091,10167,10259,10365,10449,10529,10615,10865
