l,l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p
1943,2123,2307,2471,2633,2781,3109,3285,3479,3639,3779,3859,3933.5,4113,4187,4257,4371,4469,4543,4601,4857,5007
2033,2205,2391,2551,2717,2855,3173,3351,3529,3717,3845,3909.8,3992.1,4167,4245,4317,4437,4529,4597,4691,4919,5089
