l,l,l,l,r,l,l,r,l,l,l,r,r,a,c,c,d,d,d,r,a,c,c,r,r,d,d,d,r,a,c,c,l,l,r,r,a,c,c,w,y,d,d,d,r,a,c,c,x,y,d,d,d,r,a,c,c,l,l,r,r,a,c,c,w,y,d,d,d,r,a,c,c,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c,r,r,d,d,d,r,a,c,c
1928,2154.8,2374.5,3142.2,3392.7,3555.1,3718.1,3961.6,4127.2,4285.5,4454.4,4634,4784.5,4915.1,4994.9,5068.8,5246.7,5319.2,5390.8,5495.1,5602.1,5677.8,5754.9,6004.5,6158.5,6323.2,6395.2,6466,6574.3,6675,6750,6828.6,7068.9,7197.4,7385.4,7530.6,7662.8,7737.2,7816.4,7989.5,8145.3,8281.5,8354.7,8427.4,8532.1,8638.1,8711.6,8791.1,9004.9,9156.1,9281.4,9356.3,9429.6,9535.2,9639.5,9713.3,9794.8,10025,10162,10354,10503,10639,10715,10794,10978,11134,11256,11330,11403,11506,11613,11688,11769,12004,12196,12338,12469,12546,12625,12823,12975,13099,13174,13246,13352,13460,13535,13614,13992,14147,14310,14385,14457,14563,14672,14747,14828
2034.3,2283.2,2452.3,3249.5,3441.3,3643.9,3796.5,4018.4,4189.8,4350.9,4520.3,4694.8,4859,4973.1,5040.4,5119.5,5295.5,5370.3,5455.8,5566.7,5658.9,5742.6,5820.1,6069.3,6239.1,6371.4,6448.7,6529.5,6641.7,6737.7,6814,6894.4,7124.6,7269.9,7448.9,7612.3,7723.7,7803.9,7882,8122.3,8209.7,8331.8,8406.7,8492.3,8603.3,8697.8,8779.8,8858.2,9134.7,9216.8,9332.8,9409.9,9493.6,9604.8,9699.6,9782.4,9861.7,10083,10234,10416,10581,10701,10787,10866,11112,11195,11310,11385,11469,11580,11677,11756,11835,12063,12260,12419,12529,12612,12692,12959,13036,13150,13229,13313,13426,13521,13605,13686,14057,14227,14365,14439,14525,14637,14735,14815,14895
