r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,w,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,w,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c
1984.5,2142.3,2291.7,2465.8,2625.8,2843.1,2997.8,3146.3,3217.2,3291.5,3470.8,3543.2,3614.2,3723.7,3825.3,3897.4,3979,4201.9,4349.8,4499.1,4569.8,4651.7,4842.7,4995.2,5119.4,5192.5,5265.8,5375,5477.8,5557.7,5632.2,5829.3,5979.5,6104.5,6178.6,6252.7,6358,6466.6,6542.3,6620.1,6873.3,7017.8,7181.7,7255.8,7329.7,7434,7544.6,7619.7,7699.1,7912.2,8066.3,8202.4,8276.3,8348.9,8454,8563.4,8644.2,8719.6,9249.8,9400.4,9537.7,9616.3,9695.7,9891.4,10045,10177,10252,10324,10433,10540,10612,10696,10910,11061,11197,11271,11345,11451,11558,11635,11715,12100,12258,12408,12485,12568,12761,12912,13046,13122,13195,13302,13411,13483
2027.5,2206.9,2359.8,2535.1,2698.3,2903.6,3071.2,3196.4,3286.2,3363.8,3522.7,3596,3678.7,3785.6,3885.8,3971.6,4050.2,4264.1,4428.1,4560,4647.8,4727.1,4972.6,5050.8,5172.5,5246.6,5332.4,5439.9,5536.5,5602.9,5681.3,5955,6040,6158.6,6233.9,6318.5,6428.2,6527.2,6612,6687.5,6938.7,7100,7235,7312.8,7396.7,7506.1,7608.3,7690.7,7767.3,8046.1,8130.9,8255.9,8329.9,8414.9,8528.3,8628,8716.1,8796,9313.5,9471.4,9603.2,9688,9767.5,10024,10107,10234,10307,10393,10501,10604,10692,10772,11042,11129,11251,11330,11412,11522,11624,11705,11788,12168,12338,12474,12560,12638,12893,12977,13101,13179,13262,13375,13477,13642
