l,r,l,l,l,r,l,l,r,p,a,c,c,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,l,d,d,d,p,a,c,c
419,1967,2119,2277,2465,2791,2981,3167,3367,3527,3657,3734.4,3813.2,4095,4239,4443,4597,4745,4822.4,4901,5101,5173,5243,5345,5451,5528.1,5607.3,5861,6013,6185,6257,6333,6435,6541,6620.8,6697.6,6971,7117,7307,7453,7591,7669.8,7748,7943,8095,8225,8299,8371,8477,8583,8659.7,8738.5,9107,9265,9425,9499,9573,9683,9787,9863.6,9943.6,10161,10313,10445,10519,10595,10707,10807,10887,10967,11209,11353,11561,11707,11847,11928,12007,12225,12375,12549,12625,12697,12805,12911,12994,13069,13395,13551,13691,13769,13848,14053,14235,14349,14423,14497,14607,14713,14791,14872
543,2021,2207,2359,2537,2861,3059,3239,3437,3595,3719,3795.8,3875.2,4157,4309,4511,4679,4811,4881.6,4965.4,5151,5229,5313,5417,5517,5592.7,5676.1,5935,6095,6241,6313,6401,6511,6609,6684.8,6763.2,7035,7191,7375,7537,7657,7736.9,7817.1,8079,8161,8279,8359,8443,8551,8647,8726.9,8805.4,9169,9335,9483,9557,9641,9753,9849,9923.8,10009,10299,10383,10501,10579,10665,10777,10875,10955,11035,11271,11431,11623,11793,11915,11995,12077,12363,12447,12603,12679,12771,12879,12977,13054,13135,13465,13631,13755,13837,13916,14187,14277,14407,14481,14569,14681,14777,14862,14943
