l,l,l,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
217,1017,1193,1351,1571,1733,1961,2123,2357,2517,2673,2745,2823,3009,3081,3153,3255,3373,3443,3517,3775,3931,4095,4169,4239,4343,4461,4531,4605,4845,4987,5165,5325,5481,5551,5627,5841,5991,6131,6207,6277,6383,6503,6573,6647,6871,7021,7167,7243,7313,7421,7541,7611,7687,7935,8077,8289,8443,8607,8679,8755,8957,9114.5,9245,9321,9391,9503,9615,9687,9765,10065,10215,10381,10457,10529,10635,10741,10821,10899,11205,11357,11583,11735,11903,11977,12047,12155,12275,12347,12425,12693,12903,13063,13221,13291,13367,13637,13787,13925,14001,14077,14185,14307,14377,14453
259,1101,1313,1485,1657,1811,2025,2207,2431,2605,2729,2803,2889,3071,3145,3229,3337,3425,3501,3583,3845,4017,4159,4231,4315,4425,4513,4589,4673,4915,5065,5247,5415,5535,5611,5711,5979,6053,6193,6269,6351,6465,6549,6631,6731,7017,7093,7231,7309,7391,7503,7593,7671,7771,8003,8157,8367,8533,8659,8741,8839,9096.6,9175,9311,9385,9467,9577,9669,9749,9831,10141,10305,10447,10521,10607,10717,10805,10881,10981,11271,11435,11665,11831,11965,12043,12125,12237,12327,12409,12495,12765,12985,13155,13275,13353,13441,13779,13855,13991,14067,14153,14263,14357,14439,14539
