l,l,l,l,r,r,a,c,c,d,d,d,r,a,c,c,r,r,d,d,d,r,a,c,c,l,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c,x,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c,r,r,a,c,c,x,y,d,d,d,r,a,c,c,l,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c,r,r,d,d,d,r,a,c,c,x,y,l
1787.1,1988.6,2775.8,2928.2,3191.3,3352,3477.2,3547.8,3626.4,3803.6,3873.4,3943,4048,4147.2,4218.2,4295.2,4583.5,4731.9,4900,4972,5042.4,5150.2,5250.8,5323,5401.8,5683.7,5824.8,6033.8,6187.3,6317.2,6391.2,6469.1,6657.2,6802.4,6934.4,7008,7079.4,7184.4,7285,7364.4,7437.8,7658.8,7818.3,8020.3,8165.4,8297.7,8371.9,8449,8681.6,8830.6,8966.9,9039.7,9110.7,9218.2,9320.1,9396.3,9473.6,9864.5,10021,10186,10264,10341,10538,10693,10823,10898,10969,11073,11179,11253,11332,11595,11745,11932,12081,12215,12290,12370,12579,12732,12865,12938,13012,13121,13224,13295,13378,13676,13829,13988,14062,14134,14239,14345,14419,14500,14713,14866,15062
1856,2115,2846.4,2995,3241.5,3413.6,3533.6,3618.8,3696.3,3851.9,3923.7,4006.2,4113.1,4203.2,4290.7,4369.2,4639.3,4800.3,4952.1,5025.8,5107.4,5217.2,5306.6,5392.9,5474.6,5734.9,5885,6093,6257.9,6377,6464.6,6542,6781.2,6859.2,6982.3,7061.9,7143.9,7250.7,7343,7406.1,7490.9,7760.8,7886.8,8080.8,8239.3,8356.1,8435.8,8515.8,8808,8891.7,9017.2,9093.5,9177.7,9284.4,9378.8,9462.3,9540.8,9929,10096,10252,10329,10410,10670,10757,10877,10951,11035,11145,11237,11320,11401,11655,11810,11990,12156,12275,12359,12440,12710,12794,12915,12994,13078,13187,13282,13374,13455,13740,13905,14042,14116,14201,14311,14405,14496,14578,14845,14922,15125
