l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d
1309,1753,1959,2125,2319,2523,2695,2937,3217,3381,3545,3615,3689,3871,3945,4015,4119,4239,4309,4385,4623,4753,4945,5095,5251,5317,5393,5581,5730.8,5859,5935,6003,6111,6229,6297,6371,6579,6731,6877,6951,7023,7137,7257,7327,7401,7679,7823,8019,8171,8319,8389,8465,8659,8813,8953,9027,9099.8,9203,9321,9391,9465,9713,9855,10051,10199,10345,10415,10489,10699,10855,10987,11063
1353,1887,2055,2219,2419,2599,2797,3025,3293,3469,3593,3665,3757,3933,4011,4101,4201,4293,4369,4467,4695,4841,5027,5191,5303,5379,5461,5717.3,5803,5925,5999,6089,6197,6281,6365,6443,6717,6789,6943,7019,7111,7221,7311,7397,7473,7751,7913,8105,8257,8369,8453,8533,8807,8885,9021,9090.4,9183,9289,9371,9455,9535,9785,9933,10129,10297,10391,10477,10563,10844,10925,11053,11125
