l,l,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,r,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1463,1963,2123,2841,2999,3175,3529,3657,3789,3867.3,3940,4109,4183,4253,4361,4457,4537.9,4610.8,4841,4997,5149,5221,5293,5403,5501,5577.7,5655,5869,6017,6151,6219,6289,6395,6499,6572.5,6650.8,6885,7047,7241,7401,7513,7585,7661.9,8495,8631,8771,8983,9111,9247,9335,9399.8,9577,9725,9853,9927,10001,10107,10207,10283,10361,10587,10739,10883,10959,11035,11143,11243,11319,11399
1529,2051,2201,2907,3055,3227,3565,3731,3853,3916.8,3997.3,4165,4241,4325,4429,4525,4594.8,4677,4905,5053,5207,5283,5361,5473,5569,5641,5717.3,5991,6061,6201,6277,6359,6465,6563,6632.9,6713.9,6955,7101,7285,7443,7573,7648.2,7726.8,8521,8691,8841,9023,9191,9305,9385.2,9462,9709,9769,9907,9981,10069,10173,10273,10347,10425,10729,10787,10941,11017,11093,11211,11303,11379,11467
