l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
1968.5,2213,2408.5,2563.8,2798,2935.1,3086.3,3303,3448.9,3579.6,3650.7,3732.3,3911.8,3983.5,4053.8,4159.7,4264.8,4344.2,4417.8,4650,4797.5,4956.4,5028.6,5101.1,5204.6,5310.6,5382.8,5461.3,5653.7,5800.9,5929.5,6002.5,6074.5,6185.6,6288.4,6362,6441,6658.5,6795.5,6977.5,7118.4,7255.9,7331.5,7407.9,7611.7,7762.7,7895.1,7969.4,8040.2,8144.8,8252.6,8327.2,8405.6,8647.8,8781.4,8969.8,9111.5,9247.8,9321.9,9404.1,9600.8,9756.2,9887.8,9962.7,10034,10138,10248,10321,10401,10819,10968,11125,11198,11271,11375,11481,11555,11635
2098,2299.2,2486.8,2638.8,2832.7,3004.9,3154.6,3359.3,3526.9,3637.6,3725.1,3804.1,3960.8,4037.5,4119.4,4228.5,4325.3,4387.2,4466.2,4710.5,4874.6,5006.8,5082,5166.8,5277.4,5371.6,5448.7,5529,5786.5,5867.4,5982.3,6056.4,6141.6,6252.1,6345.8,6430.8,6508.4,6714.5,6860.5,7033.8,7199,7316.2,7400.2,7477.7,7740.4,7824,7944.3,8022.1,8105.8,8218.3,8314.7,8393.2,8472.5,8703.2,8847.8,9031.4,9195.2,9309.4,9401.1,9482.6,9738.3,9817.1,9939.5,10016,10098,10210,10307,10396,10476,10876,11047,11178,11254,11338,11446,11542,11623,11702
