l,l,l,r,r,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,w,y,d,d,d,p,a,c,c
201,391,549,779,1985,2143,2399,2563,2769,2915,3047,3122.8,3199.2,3371,3441,3515,3617,3723,3795.9,3872.6,4153,4301,4467,4541,4611,4719,4817,4892.7,4970.2,5195,5329,5531,5679,5819,5895,5971.5,6155,6309,6429,6501,6571,6677,6779,6856.9,6933.6,7253,7399,7539,7616.1,7693.9,7883,8035,8159,8233,8305,8415,8515,8590.6,8669.4,9009,9167,9337,9419.8,9492,9695,9847,9981,10055,10127,10231,10335,10409,10488,10751,10891,11077,11221,11363,11441,11520,11719,11867,11999,12069,12141,12247,12351,12429,12506
327,481,631,843,2051,2225,2465,2647,2823,2995,3113,3183.9,3261.5,3427,3501,3583,3691,3783,3859,3938.2,4221,4381,4523,4597,4681,4787,4881,4956.2,5034.8,5261,5403,5597,5759,5885,5958.5,6037.9,6279,6343,6483,6557,6639,6747,6845,6927.1,7000.6,7319,7479,7605,7682,7759.9,8021,8101,8217,8293,8375,8483,8581,8656.7,8734.6,9075,9247,9391,9481.4,9562.4,9831,9909,10039,10115,10197,10305,10395,10477,10554,10815,10965,11143,11305,11431,11512,11590,11841,11937,12055,12127,12213,12321,12419,12500,12573
