w,r,l,w,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c
2240.2,2629.8,2771.6,2928.5,3172.7,3322.5,3462.1,3524.2,3603.5,3787.6,3860.2,3931.4,4038.2,4148.9,4217.9,4292.2,4514.6,4663.4,4818.3,4890.4,4962,5069.5,5171.2,5243.7,5321.7,5568,5713.5,5878.6,5951.3,6022.9,6131,6232.6,6309.6,6385.3,6625.3,6771.4,6929.7,7002.2,7074.7,7182.4,7285.1,7359.5,7437.3,7638.7,7787.6,7929.6,8002.7,8074.7,8183.2,8286.8,8357.6,8440.3,8747.3,8893.8,9053.7,9127,9199.2,9306.5,9408.7,9481.1,9562.9,9795.9,9969.2,10176,10321,10461,10535,10613,10799,10949,11077,11148,11221,11330,11434,11507,11588,11887,12036,12218,12366,12507,12582,12659,12859,13012,13133,13203,13276,13386,13487,13560,13642,13933,14083,14252,14325,14397,14508,14612,14687,14767,15036,15185,15382,15531,15668,15743,15823,16019,16170,16301,16377,16450,16556,16664,16737,16821,17279,17430,17596,17669,17742,17847,17954,18029,18109
2359.6,2676.2,2853.6,2997.5,3231.4,3389.3,3510.8,3598.2,3676.1,3839.1,3913.4,3993.8,4099.5,4197.1,4259.4,4340.3,4571.5,4729.6,4867.6,4946,5026.1,5132.8,5230.7,5311.2,5388,5629.9,5789.1,5927.4,6007.2,6088.5,6198.1,6291.5,6372.8,6451.8,6681.6,6845,6979.5,7056.7,7140.7,7248.3,7344.5,7426.9,7504.7,7771.6,7843.9,7981.7,8057.4,8141.3,8250.5,8345.7,8436.9,8516,8803,8970.1,9103.2,9182.2,9263.6,9375.7,9467,9556.4,9635.7,9845.7,10031,10235,10398,10521,10604,10683,10924,11008,11130,11204,11285,11398,11495,11585,11664,11941,12098,12284,12443,12568,12651,12733,12991,13067,13184,13259,13341,13450,13549,13639,13718,13992,14160,14302,14381,14466,14576,14672,14756,14835,15092,15250,15448,15608,15731,15814,15892,16154,16233,16356,16433,16517,16629,16724,16818,16897,17346,17507,17648,17726,17810,17920,18017,18098,18177
