r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1997.4,2142.6,2314.9,2571.4,2744.6,2907.6,3160.8,3324.2,3473.9,3549.1,3627.1,3812.7,3884.7,3955.8,4059.3,4166.6,4239,4322.7,4660.6,4814.4,4978.8,5050.9,5125,5227.9,5337.1,5417.8,5491.4,5818,5967.3,6139.4,6213.4,6286.4,6392.2,6499.6,6575.4,6655.7,6876.4,7024.1,7166.8,7239.9,7313.1,7417.1,7526.8,7597.9,7679,7931.2,8078.1,8269.6,8421,8562.6,8637.7,8716,8913.6,9068.2,9212.3,9286.7,9359.2,9463.2,9571.1,9646.1,9724.9,9970.2,10145,10296,10435,10507,10590,10794,10949,11083,11157,11230,11335,11443,11515,11599
2045.6,2218.2,2398.5,2636.4,2810.7,2980.1,3219.8,3393.7,3535,3622,3700.1,3861.8,3933.3,4018.7,4131.8,4228.4,4315.8,4393.1,4727.3,4892.8,5028.4,5104,5190.7,5301.8,5397.9,5462.9,5543.8,5876.8,6042,6188.3,6266.9,6352.7,6466,6559.8,6647.4,6723.1,7001.9,7086.2,7218.5,7294.2,7377.6,7490.6,7588.2,7675.1,7755.2,7992.1,8146.1,8336.3,8500.1,8621.8,8703.9,8788.3,9049.3,9131.8,9264.9,9337.8,9423.7,9534.2,9634,9717.6,9794.5,10031,10215,10381,10496,10586,10668,10928,11010,11135,11211,11295,11407,11504,11595,11674
